,City,Population,ViolentCrime,Murder,Rape,Robbery,AggAssault,PropertyCrime,Burglary,Theft,VehicleTheft,Arson
356,Sanger,25443.0,156.0,0.0,9.0,15.0,132.0,304.0,59.0,178.0,67.0,0.0
357,San Jacinto,49452.0,108.0,2.0,1.0,68.0,37.0,1637.0,334.0,1018.0,285.0,5.0
358,San Jose,1040008.0,4559.0,32.0,671.0,1339.0,2517.0,25164.0,4114.0,14924.0,6126.0,135.0
359,San Juan Capistrano,36209.0,63.0,2.0,4.0,20.0,37.0,297.0,69.0,201.0,27.0,2.0
360,San Leandro,90297.0,454.0,0.0,18.0,283.0,153.0,4105.0,375.0,2941.0,789.0,16.0
361,San Luis Obispo,47735.0,192.0,0.0,44.0,34.0,114.0,1738.0,277.0,1387.0,74.0,25.0
362,San Marcos,98598.0,193.0,0.0,17.0,46.0,130.0,955.0,163.0,649.0,143.0,3.0
363,San Marino,13196.0,14.0,0.0,1.0,3.0,10.0,208.0,77.0,126.0,5.0,0.0
364,San Mateo,106020.0,266.0,2.0,45.0,68.0,151.0,2217.0,516.0,1523.0,178.0,9.0
365,San Pablo,31336.0,194.0,2.0,7.0,102.0,83.0,1009.0,101.0,589.0,319.0,11.0
366,San Rafael,58819.0,230.0,0.0,23.0,87.0,120.0,1686.0,299.0,1173.0,214.0,13.0
367,San Ramon,76387.0,58.0,0.0,4.0,21.0,33.0,1099.0,179.0,869.0,51.0,3.0
368,Santa Ana,333664.0,1453.0,13.0,207.0,472.0,761.0,6808.0,854.0,4611.0,1343.0,49.0
369,Santa Barbara,91717.0,400.0,2.0,72.0,82.0,244.0,2118.0,254.0,1686.0,178.0,15.0
370,Santa Clara,131173.0,214.0,0.0,35.0,73.0,106.0,4748.0,363.0,4013.0,372.0,18.0
371,Santa Clarita,218103.0,277.0,2.0,49.0,89.0,137.0,2059.0,392.0,1448.0,219.0,17.0
372,Santa Cruz,65263.0,389.0,0.0,29.0,88.0,272.0,2932.0,348.0,2363.0,221.0,34.0
373,Santa Fe Springs,18041.0,105.0,2.0,10.0,42.0,51.0,1035.0,205.0,654.0,176.0,6.0
