,ZIPCODE,State,City,Metro,CountyName,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31
217,90026,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,918735.0,913596.0,911534.0,911999.0,916430.0,922655.0,918370.0,917525.0,917374.0,929451.0,936242.0,942350.0
221,95687,CA,Vacaville,"Vallejo, CA",Solano County,437255.0,434851.0,434313.0,436139.0,437367.0,438036.0,439627.0,441321.0,442826.0,444153.0,443428.0,441531.0
226,92114,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,438497.0,437972.0,438903.0,442423.0,445159.0,448159.0,450443.0,452033.0,452242.0,453603.0,456542.0,460871.0
244,95127,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,812539.0,801226.0,793027.0,791066.0,788673.0,782388.0,776250.0,771581.0,777926.0,779775.0,784264.0,787267.0
248,90022,CA,East Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,469750.0,468592.0,467959.0,468468.0,470046.0,471327.0,470385.0,469926.0,472690.0,477724.0,482135.0,486066.0
250,94080,CA,South San Francisco,"San Francisco-Oakland-Berkeley, CA",San Mateo County,1049629.0,1044031.0,1041296.0,1044620.0,1047632.0,1050179.0,1050663.0,1050157.0,1054308.0,1054094.0,1058615.0,1063899.0
258,92407,CA,San Bernardino,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,330545.0,331275.0,332580.0,333648.0,335296.0,336185.0,335995.0,336731.0,337545.0,339656.0,341029.0,342800.0
263,91343,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,596464.0,594060.0,592524.0,592320.0,594094.0,596818.0,596309.0,596582.0,597394.0,602100.0,605823.0,610616.0
264,95624,CA,Elk Grove,"Sacramento-Roseville-Folsom, CA",Sacramento County,433670.0,434033.0,434004.0,435874.0,438087.0,440219.0,440086.0,439209.0,439661.0,440931.0,444453.0,447776.0
266,94541,CA,Hayward,"San Francisco-Oakland-Berkeley, CA",Alameda County,644341.0,641932.0,642857.0,643571.0,643527.0,643754.0,642843.0,642291.0,641307.0,641269.0,640942.0,644707.0
269,92677,CA,Laguna Niguel,"Los Angeles-Long Beach-Anaheim, CA",Orange County,861034.0,858077.0,856630.0,855778.0,856801.0,855590.0,856250.0,858070.0,863822.0,866807.0,864882.0,861666.0
