,city,population,violentcrime,murder,rape,robbery,aggassault,propertycrime,burglary,theft,vehicletheft,arson,firecount,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,yearly median
193,Los Angeles,4015546,29400,258,2274,9652,17216,95704,13809,66253,15642,1672,64,710274.0,706744.0,704765.0,705198.0,705503.0,709004.0,707174.0,707399.0,707896.0,713545.0,718027.0,721433.0,707647.5
194,Holtville,6774,14,0,1,2,11,70,13,53,4,4,17,177085.0,176654.0,176430.0,176183.0,175825.0,175993.0,176492.0,176293.0,175324.0,175279.0,176319.0,178684.0,176306.0
195,Kingsburg,12123,18,0,2,3,13,219,76,107,36,1,158,284293.0,285207.0,287001.0,287781.0,287843.0,288512.0,291435.0,294875.0,296707.0,297387.0,296285.0,295533.0,289973.5
196,Tulare,65134,261,4,27,69,161,1469,225,951,293,11,15,216675.0,216315.0,215811.0,216440.0,217653.0,218557.0,218147.0,218228.0,218913.0,220586.0,220408.0,220584.0,218187.5
197,Brea,44155,72,0,10,29,33,1450,169,1209,72,3,6,754789.5,752361.0,751131.5,750295.5,750376.0,750099.0,751110.0,753850.5,759220.0,762363.0,761689.0,759217.5,753105.75
198,Martinez,38692,83,0,17,26,40,570,99,386,85,11,242,604227.0,601005.0,595946.0,591299.0,589198.0,587011.0,589049.0,590572.0,592510.0,593938.0,595866.0,599750.0,593224.0
199,Riverbank,25045,24,1,3,7,13,375,49,273,53,3,27,324892.0,325774.0,325626.0,328392.0,329779.0,331255.0,330247.0,330660.0,330650.0,333044.0,334293.0,336539.0,330448.5
200,Simi Valley,126025,146,1,15,35,95,1188,208,889,91,7,136,584613.0,583926.0,583572.5,584759.0,585506.0,584196.0,582819.5,582335.5,584195.5,586449.0,587490.5,590879.5,584404.5
201,Montebello,62650,178,0,11,90,77,1448,480,580,388,81,44,544682.0,542160.0,540469.0,540541.0,541808.0,543393.0,541492.0,541411.0,542496.0,546646.0,549344.0,553013.0,542328.0
202,Corona,170875,291,4,43,103,141,3482,646,2251,585,28,130,498592.5,499806.5,501901.5,502391.5,502081.0,501584.5,501406.5,501260.5,500212.5,502099.0,502830.0,506852.5,501743.0
203,Turlock,74120,426,1,29,138,258,2323,402,1483,438,34,14,325808.0,326138.5,325719.0,328457.0,329681.5,330903.5,329524.0,330153.5,330364.0,332840.0,333996.0,335809.0,329917.5
204,Orange Cove,9635,18,0,0,2,16,61,12,38,11,0,24,179962.0,180026.0,180140.0,180141.0,180994.0,182508.0,184886.0,186894.0,187554.0,188282.0,188625.0,189530.0,183697.0
